Time,DV,YDESC,CL_Drug,DOSEGROUP,CL,Drug,YTYPE,ID,mdv,TIME_UNIT,UNIT
18,101.42106333,IL10,HighExprLowAffinity,500,HighExpr,LowAffinity,2,14,0,h,ng/mL
44,282.68190333,IL10,HighExprLowAffinity,500,HighExpr,LowAffinity,2,14,0,h,ng/mL
68,273.48003333,IL10,HighExprLowAffinity,500,HighExpr,LowAffinity,2,14,0,h,ng/mL
94,580.29806667,IL10,HighExprLowAffinity,500,HighExpr,LowAffinity,2,14,0,h,ng/mL
18,152.97076667,IL10,HighExprLowAffinity,5000,HighExpr,LowAffinity,2,15,0,h,ng/mL
44,280.97556667,IL10,HighExprLowAffinity,5000,HighExpr,LowAffinity,2,15,0,h,ng/mL
68,337.3649,IL10,HighExprLowAffinity,5000,HighExpr,LowAffinity,2,15,0,h,ng/mL
94,685.8717,IL10,HighExprLowAffinity,5000,HighExpr,LowAffinity,2,15,0,h,ng/mL
18,126.65449667,IL10,HighExprLowAffinity,50000,HighExpr,LowAffinity,2,16,0,h,ng/mL
44,362.4839,IL10,HighExprLowAffinity,50000,HighExpr,LowAffinity,2,16,0,h,ng/mL
68,471.90723333,IL10,HighExprLowAffinity,50000,HighExpr,LowAffinity,2,16,0,h,ng/mL
94,1557.1813333,IL10,HighExprLowAffinity,50000,HighExpr,LowAffinity,2,16,0,h,ng/mL
18,0,IL2,HighExprLowAffinity,0,HighExpr,LowAffinity,1,10,1,h,ng/mL
44,0,IL2,HighExprLowAffinity,0,HighExpr,LowAffinity,1,10,1,h,ng/mL
68,1.0289853333,IL2,HighExprLowAffinity,0,HighExpr,LowAffinity,1,10,0,h,ng/mL
94,1.0912166667,IL2,HighExprLowAffinity,0,HighExpr,LowAffinity,1,10,0,h,ng/mL
18,0,IL2,HighExprLowAffinity,0.5,HighExpr,LowAffinity,1,11,1,h,ng/mL
44,0,IL2,HighExprLowAffinity,0.5,HighExpr,LowAffinity,1,11,1,h,ng/mL
68,1.5890656667,IL2,HighExprLowAffinity,0.5,HighExpr,LowAffinity,1,11,0,h,ng/mL
94,1.7342716667,IL2,HighExprLowAffinity,0.5,HighExpr,LowAffinity,1,11,0,h,ng/mL
18,0,IL2,HighExprLowAffinity,5,HighExpr,LowAffinity,1,12,1,h,ng/mL
44,0,IL2,HighExprLowAffinity,5,HighExpr,LowAffinity,1,12,1,h,ng/mL
68,1.8172466667,IL2,HighExprLowAffinity,5,HighExpr,LowAffinity,1,12,0,h,ng/mL
94,2.0661713333,IL2,HighExprLowAffinity,5,HighExpr,LowAffinity,1,12,0,h,ng/mL
18,0,IL2,HighExprLowAffinity,50,HighExpr,LowAffinity,1,13,1,h,ng/mL
44,0,IL2,HighExprLowAffinity,50,HighExpr,LowAffinity,1,13,1,h,ng/mL
68,1.3608846667,IL2,HighExprLowAffinity,50,HighExpr,LowAffinity,1,13,0,h,ng/mL
94,1.4646033333,IL2,HighExprLowAffinity,50,HighExpr,LowAffinity,1,13,0,h,ng/mL
18,0,IL2,HighExprLowAffinity,500,HighExpr,LowAffinity,1,14,1,h,ng/mL
44,0,IL2,HighExprLowAffinity,500,HighExpr,LowAffinity,1,14,1,h,ng/mL
68,1.485347,IL2,HighExprLowAffinity,500,HighExpr,LowAffinity,1,14,0,h,ng/mL
94,1.879478,IL2,HighExprLowAffinity,500,HighExpr,LowAffinity,1,14,0,h,ng/mL
18,0.3601816667,IL2,HighExprLowAffinity,5000,HighExpr,LowAffinity,1,15,0,h,ng/mL
44,0,IL2,HighExprLowAffinity,5000,HighExpr,LowAffinity,1,15,1,h,ng/mL
68,3.1655883333,IL2,HighExprLowAffinity,5000,HighExpr,LowAffinity,1,15,0,h,ng/mL
94,20.362132333,IL2,HighExprLowAffinity,5000,HighExpr,LowAffinity,1,15,0,h,ng/mL
18,4.424831,IL2,HighExprLowAffinity,50000,HighExpr,LowAffinity,1,16,0,h,ng/mL
44,1.3651773333,IL2,HighExprLowAffinity,50000,HighExpr,LowAffinity,1,16,0,h,ng/mL
68,10.591838333,IL2,HighExprLowAffinity,50000,HighExpr,LowAffinity,1,16,0,h,ng/mL
94,3.4145133333,IL2,HighExprLowAffinity,50000,HighExpr,LowAffinity,1,16,0,h,ng/mL
18,0,IL6,HighExprLowAffinity,0,HighExpr,LowAffinity,3,10,1,h,ng/mL
44,0,IL6,HighExprLowAffinity,0,HighExpr,LowAffinity,3,10,1,h,ng/mL
68,0,IL6,HighExprLowAffinity,0,HighExpr,LowAffinity,3,10,1,h,ng/mL
94,0,IL6,HighExprLowAffinity,0,HighExpr,LowAffinity,3,10,1,h,ng/mL
18,0,IL6,HighExprLowAffinity,0.5,HighExpr,LowAffinity,3,11,1,h,ng/mL
44,0,IL6,HighExprLowAffinity,0.5,HighExpr,LowAffinity,3,11,1,h,ng/mL
68,0,IL6,HighExprLowAffinity,0.5,HighExpr,LowAffinity,3,11,1,h,ng/mL
94,0,IL6,HighExprLowAffinity,0.5,HighExpr,LowAffinity,3,11,1,h,ng/mL
18,0,IL6,HighExprLowAffinity,5,HighExpr,LowAffinity,3,12,1,h,ng/mL
44,0,IL6,HighExprLowAffinity,5,HighExpr,LowAffinity,3,12,1,h,ng/mL
68,0,IL6,HighExprLowAffinity,5,HighExpr,LowAffinity,3,12,1,h,ng/mL
94,75.802253333,IL6,HighExprLowAffinity,5,HighExpr,LowAffinity,3,12,0,h,ng/mL
18,16.46224,IL6,HighExprLowAffinity,50,HighExpr,LowAffinity,3,13,0,h,ng/mL
44,0,IL6,HighExprLowAffinity,50,HighExpr,LowAffinity,3,13,1,h,ng/mL
68,33.847336667,IL6,HighExprLowAffinity,50,HighExpr,LowAffinity,3,13,0,h,ng/mL
94,84.185363333,IL6,HighExprLowAffinity,50,HighExpr,LowAffinity,3,13,0,h,ng/mL
18,46.28123,IL6,HighExprLowAffinity,500,HighExpr,LowAffinity,3,14,0,h,ng/mL
44,63.934406667,IL6,HighExprLowAffinity,500,HighExpr,LowAffinity,3,14,0,h,ng/mL
68,129.64306667,IL6,HighExprLowAffinity,500,HighExpr,LowAffinity,3,14,0,h,ng/mL
94,202.06056667,IL6,HighExprLowAffinity,500,HighExpr,LowAffinity,3,14,0,h,ng/mL
18,60.276156667,IL6,HighExprLowAffinity,5000,HighExpr,LowAffinity,3,15,0,h,ng/mL
44,101.19748333,IL6,HighExprLowAffinity,5000,HighExpr,LowAffinity,3,15,0,h,ng/mL
68,231.42113333,IL6,HighExprLowAffinity,5000,HighExpr,LowAffinity,3,15,0,h,ng/mL
94,389.04726667,IL6,HighExprLowAffinity,5000,HighExpr,LowAffinity,3,15,0,h,ng/mL
